Pose,Step,Video
arm_circles,"1. Stand with feet hip-width apart.
2. Extend arms out to sides at shoulder height.
3. Slowly make small circles with arms, gradually increasing the size.
4. Reverse the direction and repeat.",https://youtu.be/9pEYwmufn48
breathing_exercises,"1. Sit comfortably with eyes closed, focus on natural breath.
2. Place one hand on belly, one on chest. Watch them rise and fall with breath.
3. Slowly inhale for a count of 4, filling chest and belly fully.
4. Exhale slowly for a count of 6, emptying lungs completely.
5. Repeat breath cycle 5-10 times.",https://youtu.be/395ZloN4Rr8
bridge_pose,"1. Lie on back with knees bent and feet hip-width apart on floor.
2. Arms by sides, palms down.
3. Inhale, lift hips up off floor into bridge position.
4. Keep shoulders pressed down and core engaged.
5. Hold for 20-30 seconds.
6. Exhale, slowly lower back down.",https://youtu.be/XUcAuYd7VU0
cat-cow_pose,"1. Get on all fours with wrists under shoulders, knees under hips.
2. Inhale, drop belly, lift chin up towards ceiling (cow pose).
3. Exhale, arch back upwards, look at navel (cat pose).
4. Repeat sequence 5-10 times.",https://youtu.be/vuyUwtHl694
child_s_pose,"1. Kneel on floor with toes together, knees hip-width apart.
2. Exhale and sit hips back over heels, lowering torso between thighs.
3. Forehead rests on floor, arms extended front with palms down.
4. Hold for up to 1 minute breathing deeply.",https://youtu.be/qYvYsFrTI0U
cobra_pose,"1. Lie on stomach with palms on floor under shoulders, tops of feet on floor.
2. Engage core and press palms firmly on mat.
3. On an inhale, slowly lift chest off the floor, lifting just until arms are straight.
4. Keep shoulders down, neck relaxed.
5. Hold briefly then lower back to floor on exhale",https://youtu.be/fOdrW7nf9gw
corpose_pose,"1. Lie on back with legs hip-width apart and toes relaxed out to sides.
2. Extend arms about 45 degrees from body, palms up.
3. Gently close eyes and relax whole body fully while focusing on breath.
4. Hold for 1-3 minutes.",https://youtu.be/1VYlOKUdylM
deep_breathing_exercises,"1. Sit up tall or lie on back with hand on belly.
2. Inhale slowly and deeply through nose, feeling belly expand with breath.
3. Exhale slowly out through pursed lips, pressing belly in and up.
4. Repeat for 5-10 breaths, focusing on deep inhales and long exhales.",https://youtu.be/395ZloN4Rr8
downward_facing_dog_pose,"1. Start on all fours with wrists under shoulders, knees under hips.
2. Curl toes under and straighten legs to lift knees off floor.
3. Press hips up and back to form inverted V shape with body.
4. Feet hip-width apart, heels reaching for floor.
5. Hold for 5-10 breaths",https://youtu.be/EC7RGJ975iM
eagle_pose,"1. From standing, shift weight to one leg, bend knees slightly and lift other leg to cross over standing leg.
2. Hook foot behind calf muscle of standing leg if possible or simply cross legs.
3. Bend elbows and wrap one arm under the other at shoulder height. Palms touch.
4. Lift elbows up alongside head and gaze straight ahead.
5. Hold for 5-10 breaths then unwind and repeat on opposite side.",https://youtu.be/fC9XQWc6ukk
